objid,filepath,caption
587739505552785605,data/labels/thumbs/130549.jpg,spiral galaxy
587732578312454276,data/labels/thumbs/57314.jpg,"spiral galaxy with tightly wound spiral arms, with four spiral arms, with a noticeable bulge"
587729154670395609,data/labels/thumbs/29846.jpg,"spiral galaxy with moderately wound arms, with a ring"
587732154179452963,data/labels/thumbs/52897.jpg,"spiral galaxy with moderately wound spiral arms, with a pair of spiral arms, with a central bar"
587722983364690145,data/labels/thumbs/1129.jpg,spiral galaxy with moderately wound arms
587733432461689301,data/labels/thumbs/253617.jpg,"rounded/cigar-shaped spiral galaxy with a pair of spiral arms, seen edge-on, with a ring structure, with a noticeable round bulge"
587739165702815910,data/labels/thumbs/121531.jpg,"barred spiral galaxy with tightly wound arms, with 2 spiral arms, with a ring"
587742009509413066,data/labels/thumbs/162082.jpg,"spiral galaxy with tightly wound spiral arms, with a central bar"
587736946812846455,data/labels/thumbs/102707.jpg,"barred spiral galaxy with moderately wound arms, with 2 spiral arms, with a ring, with a prominent rounded bulge"
587742550692331884,data/labels/thumbs/172242.jpg,spiral galaxy with a pair of spiral arms
587735349112340621,data/labels/thumbs/81971.jpg,"spiral galaxy with a ring, with a prominent rounded bulge"
587736804008198297,data/labels/thumbs/97766.jpg,"spiral galaxy with tightly wound spiral arms, with a pair of spiral arms, with a central bar, with a ring structure, with a conspicuous round bulge"
588018054574375038,data/labels/thumbs/231857.jpg,spiral galaxy with tightly wound arms
587731869096476836,data/labels/thumbs/46459.jpg,"spiral galaxy with a central bar, with a ring structure, with a conspicuous round bulge"
587741421102235811,data/labels/thumbs/262814.jpg,barred irregular galaxy with a small or non-existent bulge
588017720102551798,data/labels/thumbs/220095.jpg,spiral galaxy with a ring structure
587738946685042842,data/labels/thumbs/115288.jpg,"spiral galaxy with tightly wound arms, with a ring, with a prominent bulge"
588017726011211959,data/labels/thumbs/222433.jpg,"spiral galaxy with moderately wound spiral arms, with a pair of spiral arms, with a central bar, with a ring structure, with a noticeable round bulge"
587724648180351163,data/labels/thumbs/2137.jpg,"spiral galaxy with tightly wound arms, with a ring, with a prominent bulge"
587726100419117632,data/labels/thumbs/20570.jpg,spiral galaxy with a noticeable round bulge
587732482204565643,data/labels/thumbs/53790.jpg,rounded/cigar-shaped spiral galaxy with a modest rounded bulge
588017978895696002,data/labels/thumbs/227663.jpg,"spiral galaxy with tightly wound spiral arms, with a noticeable bulge"
587739098599391437,data/labels/thumbs/118218.jpg,"rounded/cigar-shaped barred spiral galaxy with tightly wound arms, with a ring"
587729777982505229,data/labels/thumbs/39550.jpg,"spiral galaxy with tightly wound spiral arms, with a ring structure, with a noticeable bulge"
587732582593134645,data/labels/thumbs/58305.jpg,barred spiral galaxy with a ring
587742864743268468,data/labels/thumbs/183961.jpg,"spiral galaxy with moderately wound spiral arms, with three spiral arms, with a conspicuous bulge"
